string,n,frequency
a great chain,3,1
great wickedness as,3,1
ye keep,2,1
they heard him,3,1
my present design i shall,5,1
i first looked upon,4,1
the wicked with all the,5,1
egypt called the book,4,1
opened by the spaniards in,5,1
the whole matter to,4,1
became,1,17
body male,2,1
i put the man whom,5,1
them in the expanse,4,1
rock of heaven,3,1
had drawn away many,4,1
with adam,2,1
gave me commandment wherefore for,5,1
when the son of,4,1
world unto the ends,4,1
i have found favor,4,1
them joined,2,1
am i send,3,3
be very obedient,3,1
of satan was upon all,5,1
spirit of inspiration and,4,1
the commandment,2,3
a voice from the,4,1
now they,2,1
for as many as receive,5,1
than the other yet,4,1
not know,2,2
was under water who,4,1
creation and also of the,5,1
the remission of sins that,5,1
eden to till,3,1
of great excitement,3,1
thy brethren by their,4,1
he was ridiculed and,4,1
was born in the year,5,1
world until,2,1
spake and,2,4
when will my creator sanctify,5,1
a conduit,2,1
the heavens shall be shaken,5,1
fathers and the right i,5,1
fathers having turned from their,5,1
i betook,2,1
forth with fear for,4,1
and i have a,4,1
the air and commanded that,5,1
even in the flesh and,5,1
my bed and as usual,5,1
baptism by,2,2
otherwise i could,3,1
hands were naked,3,1
of months and of,4,1
of this heart nor,4,1
and we will give them,5,1
passed away by,3,1
all thy creations from all,5,1
and in those days there,5,1
and would know,3,1
to sudden,2,1
times,1,6
they must be,3,2
was as easy,3,1
is jehovah and,3,2
thy father and,3,1
that there should,3,1
of everlasting,2,1
the father which,3,1
that he made the,4,1
repent in the,3,1
woman said unto the serpent,5,1
and over,2,13
man whom i,3,2
their god,2,3
when he made,3,1
that it was of god,5,1
that me will slay me,5,1
tarry ye here and keep,5,1
forbade me to join with,5,1
replied to me that,4,1
came to pass that all,5,1
lord said i will destroy,5,1
abraham told my,3,1
a whirlwind in an instant,5,1
those days therefore pray,4,1
unto himself now for this,5,1
hearts were set to,4,1
know to prize,3,1
reveal unto you the,4,1
adam spake unto the,4,1
is upon the face of,5,1
things which they,3,1
now this,2,4
was among the sons,4,1
themselves and said,3,1
commanded us to go,4,1
lord said unto me,4,11
beautiful,1,1
told me that when i,5,1
great strife and noise,4,1
of an angel from glory,5,1
privilege of worshiping,3,1
the gods to grow,4,1
pass away,2,4
not all for my works,5,1
this generation in which these,5,1
saw two personages and,4,1
would supersede,2,1
morning that they,3,2
them because that,3,1
god for forgiveness,3,1
dictates of our own,4,1
begin to,2,4
of heaven looked upon,4,1
behold mine,2,2
eaten of,2,2
not to call upon god,5,1
which was from the,4,1
art one in me,4,1
himself two,2,1
mobbing,1,1
continually to get them from,5,1
the seventh day and sanctified,5,1
creation for the records,4,1
experienced when almost immediately after,5,1
one year from that,4,1
have i kept,3,1
between thy seed and her,5,1
and seven,2,2
estate and,2,2
unto my speech,3,1
with the and,3,2
to me for,3,1
born a son and,4,1
beheld our,2,1
come to any,3,1
never did any passage,4,1
of my god for,4,1
save her,2,1
face shalt thou eat,4,1
thy wife,2,2
son saying,2,1
were blessed upon,3,1
of the savior ministry,4,1
charles a gentleman,3,1
characters which had been,4,1
the place where i had,5,1
name of his son enoch,5,1
the account given,3,1
yet these,2,1
did he say unto me,5,1
he had determined against,4,1
night i betook myself,4,1
of god mourned,3,1
every feeling of,3,1
shall arise and,3,1
hill at the head of,5,1
was wroth,2,2
revelations in these days,4,1
these words satan cried,4,1
justified and by the,4,1
seas or,2,1
convert so that all their,5,1
time arrived for,3,1
of the only begotten depart,5,1
that he built a,4,1
noah built an,3,1
two spirits and one shall,5,1
history i,2,1
bright,1,2
heaven created i them,4,1
you but they will,4,1
genealogy was kept,3,1
he had on,3,1
fought against,2,1
i was transfigured before,4,1
child and unto,3,1
own son,2,1
a work for thee,4,1
beginning shall be,3,1
multitudes united themselves to,4,1
meetings as often,3,1
i can judge between him,5,1
him he would,3,1
came a fulfilment,3,1
december continued,2,1
draw near,2,1
he had no,3,1
according to the prophecy of,5,1
grace and,2,5
wicked one may have,4,1
if they supposed,3,1
all the time suffering,4,1
conscience and,2,1
meetings as,2,1
works were in the,4,1
excited the cry and tumult,5,1
the commandment to,3,1
rehearse or,2,1
all mankind may be,4,1
i commenced copying the,4,1
inquire of him for,4,1
behold i have told,4,1
eyes for my natural eyes,5,1
god he received strength,4,1
the night and to,4,2
great one,2,1
earths like this it,4,1
do evil and were,4,1
was with noah so,4,1
not unto my voice but,5,1
and departed from the,4,1
know that he,3,1
all mankind that one,4,1
it begins to,3,1
this priesthood had not the,5,1
herb yielding seed,3,3
not kept the commandments which,5,1
enoch also beheld the residue,5,1
the wickedness of my children,5,1
they hearken to my voice,5,1
multiply and replenish,3,2
and systems practiced among men,5,1
and he came before me,5,1
purpose have,2,1
angels descending out of heaven,5,2
the beginning which manner of,5,1
giants on the earth,4,1
righteousness and there was,4,1
ye shall receive the gift,5,1
sight of man and man,5,1
of vermont and,3,1
unto this present time,4,1
as interesting and sublime a,5,1
was the father of,4,2
and the heavens according,4,1
the waters bring forth abundantly,5,1
adam glorified the,3,1
night and day,3,1
palmyra that they,3,1
shortly come to pass,4,1
which his hands,3,2
the wickedness of men had,5,1
them and a book of,5,1
estate shall not have glory,5,1
form the heavens and,4,1
also was born a,4,1
the image of mine only,5,1
may have power to seduce,5,1
light rested upon,3,1
in ur of the,4,1
you for many shall come,5,1
earth in this,3,1
nations so great was,4,1
it neither shall ye touch,5,1
place of it,3,1
thou wroth,2,1
acts and verses,3,1
there came a,3,3
not should,2,1
the evil,2,1
midst of my meditation,4,1
beheld many lands and,4,1
fruit after his kind whose,5,1
a character of sufficient,4,1
now thou,2,1
shall the day,3,1
strength like unto,3,1
were confirmed,2,1
that my chosen shall return,5,1
was bright and they,4,1
morning of a,3,1
my mother i have,4,1
be famines and pestilences and,5,1
his brethren dwelt in the,5,1
father resided and my father,5,1
seen a,2,8
the words of noah,4,1
the eldest,2,1
and though i was,4,2
of time in the,4,1
they were delivered,3,1
i am god i,4,1
befallen them are only the,5,1
created of the same,4,1
satan came among,3,1
a god like unto that,5,1
bless thee as their,4,1
chapter of acts,3,1
possess a greater knowledge,4,1
and to him also,4,1
some for the,3,2
was as follows i,4,1
the fear of the,4,2
seen a vision and who,5,1
of time,2,11
and the gold of,4,1
blood even,2,1
authority which,2,1
to worship the,3,1
above the expanse,3,1
he spake unto moses at,5,1
the instant,2,1
spake and there went up,5,1
fell helpless,2,1
baptist in,2,1
thy will,2,1
the lord spake unto adam,5,1
mine only begotten which was,5,1
cursing,1,1
church namely my mother lucy,5,1
was exceedingly light but not,5,1
lord my god preserved,4,1
labor should be thought,4,1
that of building his,4,1
and an of his,4,1
command you except to,4,1
my brothers and,3,1
then shalt thou,3,1
me i sought for the,5,1
a disposition to,3,1
and he shall bruise thy,5,1
sorrows,1,1
gods pronounced,2,1
i have commanded,3,1
judgments of the,3,1
king of zion the rock,5,1
know that in,3,1
pray thee why,3,1
day from the night and,5,2
and that you,3,1
have befallen them,3,1
as naught and,3,1
to whom i should,4,1
the representation at the commencement,5,1
but one,2,1
the saints arose and,4,1
me which signifies stars or,5,1
whose craft,2,1
times was greatly,3,1
or why does the world,5,1
introduction,1,1
lord said unto me look,5,2
was as follows,3,1
as also if,3,1
was exceedingly light,3,1
the lord showed unto enoch,5,1
love one another and that,5,1
carefully,1,1
pass that enoch continued his,5,2
would stay the floods,4,1
we went and,3,2
mighty men,2,1
day thou thereof thou,4,1
he shall plant in,4,1
divide the waters,3,2
to pass that methuselah,4,3
over me as to bind,5,1
also quoted the second,4,1
are in the,3,2
you shall,2,2
the heavens shall shake,4,1
god for because,3,1
clearly and distinctly,3,1
their works were in the,5,1
so likewise shall mine elect,5,1
land with much heat,4,1
the rest of,3,1
first estate and they who,5,1
confidence in obtaining a divine,5,1
if they tell it they,5,1
cain his brother abel,4,1
be an hundred,3,1
with a little variation,4,1
yet come when they who,5,1
shall exist after for,4,1
gods watched,2,1
the set time of all,5,1
combine against,2,1
after many days an angel,5,1
the dust of the,4,2
is given unto,3,4
dust shalt thou eat,4,1
by the savior to,4,1
elijah,1,1
darkened and,2,2
said unto enoch go,4,1
should come unto,3,1
are true even as i,5,1
that i had seen,4,3
his only begotten and,4,1
and it veiled the whole,5,1
have created them,3,1
would have said,3,1
world and now,3,1
my brothers alvin who,4,1
thy ministry my,3,1
she conceived and,3,2
that hath life and,4,1
wherein my wisdom them all,5,1
wife who,2,1
was day and it,4,1
not bow down to,4,1
the determination to ask of,5,1
the midst of eternity the,5,1
the imagination,2,1
telling the story,3,1
to the of the vision,5,1
me that i might,4,1
a just,2,1
breath of life and,4,3
one thousand years,3,1
to delineate the chronology,4,1
such was never in,4,1
ground but the,3,1
against convert so,3,1
only waited for the,4,1
prophecies of the old,4,1
again receive his natural,4,1
they were naturally upon the,5,1
themselves for behold,3,1
dominion among men and,4,1
for amidst all my anxieties,5,1
not aware of and,4,1
an holy ordinance and the,5,1
judged his people,3,1
night is above or greater,5,1
shall not always strive with,5,1
and the gods planted a,5,1
work for me,3,1
moses was caught up into,5,1
head surrounded by light as,5,1
my sisters catherine and lucy,5,1
said unto cain swear,4,1
first or the,3,1
were ordained,2,1
was lifted,2,1
in the same organization,4,1
and behold all things have,5,1
doomed to,2,2
and things which are under,5,1
world was racked and distracted,5,1
manner which we never,4,1
to board for a,4,1
for his glory has been,5,1
of his brothers daughters to,5,1
them take heed,3,1
comprehend the wisdom which,4,1
chapters to inclusive,3,1
man and perfect in his,5,1
addition to these,3,1
even few,2,1
is not true,3,1
out of my pocket and,5,1
men and them to worship,5,1
place it was there i,5,1
journey,1,1
to abel his brother who,5,1
greater star as also if,5,1
a mountain on the,4,1
and that their plan was,5,1
how and in,3,1
given unto me,3,2
upon our souls and we,5,1
shall take,2,1
entered into the,3,1
of god and there were,5,1
above all cattle and,4,1
had i baptized oliver,4,1
and this authority,3,1
heaven and the evening and,5,1
mount and,2,1
life and man,3,2
methuselah were,2,1
only counteracted by,3,1
should give unto him mine,5,1
most elevated of any,4,1
i abraham and lot,4,1
was very wroth,3,1
sea east i beheld,4,1
and they saw him,4,1
gospel shall,2,1
showing,1,1
house had,2,1
drunken the,2,1
created these things yea in,5,1
admonition of paul we believe,5,1
do well to hearken,4,1
into the mountains let him,5,1
neither to abel his,4,1
two and,2,1
preached in all the,4,1
shall be called woman,4,2
and commanded me that,4,1
stones in silver bows and,5,1
earth behold we,3,1
them all for i rule,5,1
light was the,3,2
time as if,3,1
man of all men have,5,1
bitterness of,2,2
his own likeness,3,1
man who lacked,3,1
that the sons of,4,1
concerning all,2,1
and breathed,2,2
and surely i will,4,1
i had just experienced,4,1
into our bosom and,4,1
under the expanse,3,1
blessed is that servant,4,1
the blind,2,1
married at the,3,1
rose up against,3,1
days of enos were nine,5,1
dishonest others said,3,1
for thy sake,3,2
the altar which stood,4,1
of noah his,3,1
know this if the,4,1
unto cain swear,3,1
they should persecute,3,1
curse,1,8
with a great affliction,4,1
had put into the,4,1
process of,2,3
and moved,2,1
lord in the name,4,1
saved but for the elect,5,1
of their course,3,1
back,1,4
in order more slow,4,1
the admonition,2,1
became of dust a living,5,1
till naught,2,1
created all things of,4,1
attempt,1,5
jerusalem then,2,1
true meaning and intention of,5,1
him for to hear him,5,1
have created them and,4,1
themselves death and,3,1
the bosom of eternity strikes,5,1
a sore,2,2
ready for in such,4,1
men and things,3,1
be gathered from,3,1
witness unto all nations,4,1
and that my name should,5,1
hired with,2,1
touch it lest,3,1
the deep and my spirit,5,1
which is set to,4,2
gift of tongues,3,1
f after writing the,4,1
a soul,2,1
yet come when,3,1
things known unto their sons,5,1
age myself samuel harrison william,5,1
end of the world also,5,1
it at least i,4,1
and must not be,4,1
and a decree sent,4,1
make an offering unto,4,1
take in his,3,1
laid two stones,3,1
might slay me also,4,1
meet for the man,4,1
of the bible being the,5,1
breathed into his,3,2
were abominations,2,1
left two shall be grinding,5,1
words which i speak,4,1
idolatrous nation,2,1
given unto as,3,1
all their good feelings,4,1
yea and,2,3
upon them for,3,1
was wrong,2,1
thy transgressions and,3,1
that this was not yet,5,1
which is the god,4,1
would be utterly wasted at,5,1
and all mankind,3,1
reckoning of the lord,4,2
that mourn may be,4,1
and called on the,4,1
enoch saw this he,4,1
our work,2,3
land which came up out,5,1
of light exactly,3,1
father adam,2,4
have suffered his house to,5,1
condemnation,1,1
ever willing to answer,4,1
yet the gods had,4,1
contempt saying it was,4,1
of men these things,4,1
saw that the tree was,5,1
i soon,2,2
man may deceive,3,1
believe in god the,4,1
we will fall upon their,5,1
a firm,2,1
then shall they,3,1
filthiness which is gone,4,1
sons of adam wherefore being,5,1
nostrils,1,2
abraham get,2,1
be influenced by,3,1
me out this,3,1
but they hearkened not unto,5,1
days from the evening until,5,1
hath the lord,3,1
son in,2,1
that while they were in,5,1
was in the place where,5,1
our work which we,4,2
ye the lord,3,1
have been ready,3,1
and satan to have thee,5,1
who is full,3,2
shall the end,3,1
of adam save,3,1
a witness unto,3,1
mountains depart hence,3,1
i accordingly took it,4,1
gave unto them commandments,4,1
the heart of man,4,1
and noah and his sons,5,1
children saying that by reason,5,1
sixty and two years old,5,1
introduction pass more,3,1
could number the particles of,5,1
the heavens open and,4,1
family met,2,1
acted under the,3,1
this son shall,3,1
time no nor ever,4,1
the people but the end,5,1
of getting rich,3,1
calling upon god i discovered,5,1
was contained,2,2
for it shall be,4,1
adam cried unto the lord,5,1
a time as if i,5,1
it was as easy,4,1
hereafter and he commanded,4,1
marriage and knew not,4,1
him think or believe,4,1
on of hands by,4,1
lord saying when shall the,5,2
were a conduit open,4,1
thing in the land a,5,1
might be turned away from,5,1
shall suffer,2,1
you must,2,1
cleansed from the,3,1
to the of the,4,1
heaven and he ascended till,5,1
jesus christ the son of,5,1
said unto enoch as,4,1
determination to,2,2
notwithstanding one is,3,1
instant that i,3,1
and truth,2,8
take lot,2,1
reason of transgression,3,1
faith i,2,1
of the holy ghost,4,5
very early period of,4,1
the middle on,3,1
us said that his name,5,1
be shaken then,3,1
doom and the whole heavens,5,1
to keep the way of,5,1
he stood among those,4,1
concluded to go down,4,1
men do not repent,4,1
beneath in all wisdom and,5,1
kindred and from,3,1
adam who was the,4,1
canaan and,2,2
progress,1,2
been before,2,1
overcame me and had such,5,1
what thou,2,2
were said unto,3,1
king agrippa and,3,1
looked upon their wickedness and,5,1
fruit thereof and,3,1
he told me,3,3
and so unacquainted,3,1
trees,1,2
of great alarm i saw,5,1
season abide upon,3,1
son my,2,1
reads if any of you,5,1
hale of that place it,5,1
tongues or that it,4,1
name and whatsoever ye shall,5,1
of god in heaven,4,1
family and about myself,4,1
lord god spake,3,3
but with,2,1
am thy god,3,1
star,1,3
withdrawn from,2,2
and then the,3,2
that the covenants,3,1
me saying that i,4,1
stay,1,1
concealed by men whose,4,1
went to board,3,1
sprang all the egyptians,4,1
the hand of elijah the,5,1
god and told,3,1
where the plates were deposited,5,1
join what sect they,4,1
scene of great confusion,4,1
of the ground made the,5,1
judge between him,3,1
brother took to,3,1
and then thy,3,1
now this prophecy adam spake,5,1
voice ye wives of,4,1
him mine,2,1
these there,2,1
all around was covered,4,1
reveal unto you,3,2
first estate and at,4,1
upon our souls,3,1
son of,2,26
but a lad,3,1
and this is a,4,2
to dress it and to,5,2
me deny what i have,5,1
to me with this charge,5,1
the fireplace mother,3,1
greater than that,3,1
the year eighteen hundred and,5,1
truly like lightning,3,1
lesser light they set,4,1
shall ask it shall be,5,1
the planet,2,1
exist above it,3,1
where i the lord,4,1
and standing before him,4,1
now of this thing moses,5,1
for the sake,3,1
troubled for,2,1
gospel unto the,3,1
i fell helpless,3,1
and the presence,3,1
and adam lived,3,1
unto him i,3,1
religious parties which created no,5,1
be carnal sensual and devilish,5,1
the door and satan to,5,1
the last verse,3,1
after he begat jared eight,5,1
the midst of the water,5,1
corrupted its,2,1
thy face shalt thou eat,5,1
in this life,3,1
thou said they shall,4,1
of great sorrow to,4,1
days the sun,3,1
i confer this priesthood,4,1
found a friend in,4,1
by being,2,1
told me to go and,5,1
brought forth out of,4,1
saying believe it,3,1
lying on my back,4,1
numbers,1,1
hands of all classes,4,1
the plates deposited in a,5,1
but the edge all around,5,1
of the indigent circumstances,4,1
with abel,2,1
men were numerous upon all,5,1
these strange,2,1
designed to go having,4,1
tumult of,2,1
and glory,2,2
pass that methuselah prophesied that,5,1
the voice of the lord,5,4
who possessed great,3,1
the new jerusalem will be,5,1
down clothed,2,1
it because that,3,1
that enoch went forth in,5,1
seeds,1,1
doing good,2,1
as for adam there,4,1
gods caused a deep,4,1
rise up,2,2
enos and the residue of,5,1
love of men shall,4,1
plainly who thou art and,5,1
came to the conclusion,4,1
return unto,2,2
kiss each other and,4,1
son to,2,1
created and made to,4,1
innumerable are they unto,4,1
us were only,3,1
water were turned out of,5,1
the cross after the,4,1
his hands upon,3,1
me out of the power,5,1
hath god said ye shall,5,1
did i get possession,4,1
to do evil,3,1
these things and do ye,5,1
coming and of the end,5,1
was had among,3,1
that all such things,4,1
and the whole earth,4,1
i prevailed with,3,1
thy servant o god and,5,1
so very bright as immediately,5,1
to be able to speak,5,1
this cause to keep the,5,1
up against abel his,4,1
for what took,3,1
tongues and,2,1
bare,1,8
oven and all the,4,1
of men shall esteem my,5,1
took place relative to him,5,1
and declare his gospel,4,1
cain was shut out from,5,1
lord neither to abel,4,1
seven hundred and years,4,2
the lord from,3,1
earth neither in the,4,1
immediately i,2,1
time for bringing them,4,1
adam said this i,4,1
salvation wherefore enoch saw that,5,1
was done after the manner,5,1
immediately a,2,1
for they will not hearken,5,1
smite them with a curse,5,1
translation of some,3,1
thus employed praying and calling,5,1
living soul,2,4
ever before,2,1
father may not know,4,1
his father and his,4,2
god to administer the,4,1
of heaven saying thou,4,1
into my hands,3,2
said unto cain,3,3
verses precisely as they stand,5,1
immersion for the remission,4,2
great people which dwelt in,5,1
many shall come in my,5,1
of christ who deny revelations,5,1
different denominations,2,1
that land was good,4,1
divided the,2,4
plates were sealed,3,1
was correct,2,1
after his return,3,1
mind and put all,4,1
said let them,3,1
god and thus may all,5,1
deny and even the,4,1
in and came,3,1
offer up the desires of,5,1
it was impossible,3,1
i am christ and shall,5,1
begat and lived after he,5,1
and at each time,4,1
and subdue it and have,5,1
were no longer,3,1
of god had revealed,4,1
laid two stones crossways of,5,1
it was upon him,4,1
stir,1,1
i knew it and i,5,1
sought for the blessings,4,1
on the seventh time we,5,1
was come near to,4,1
the lord of that,4,1
as visions or,3,1
unto himself now,3,1
the beasts of,3,2
none had authority from god,5,1
men saw that those daughters,5,1
were made known,3,1
seers,1,1
false christs and false prophets,5,1
lived ninety,2,1
both reason,2,1
be forgotten,2,1
shall continue in thee,4,1
the comforter the,3,1
after writing the,3,1
was filled and began to,5,1
of them in the figures,5,1
benevolent virtuous and in,4,1
removed from thence,3,1
sins and be baptized in,5,1
full confidence in obtaining a,5,1
each of our,3,1
beauty and glory,3,1
belly shalt thou go and,5,1
unto the land,3,1
shall be called after,4,1
forth children and thy,4,1
and they the,3,2
abominations and began to spread,5,1
of men and he heard,5,1
nevertheless thou choose for thyself,5,1
the finger of,3,2
never more,2,1
not for in those,4,1
surely die for out,4,1
had revealed,2,1
thou shalt die and swear,5,1
some ancient records that have,5,1
was upon his people,4,1
sojourn,1,1
his preaching unto the,4,1
beheld the same messenger,4,2
he looked up and,4,1
this ministry,2,1
hold all the,3,1
lesser light,2,7
shall come that the,4,1
noah five,2,1
themselves and by their oaths,5,1
of sands,2,1
dared i do it,4,1
the holy priesthood as he,5,1
hearkened not unto the,4,1
common among,2,1
and female created he,4,1
and he also begat,4,1
go having looked,3,1
house neither let him who,5,1
thee up and,3,1
it had never entered into,5,1
would know to his latest,5,1
them which is mine only,5,2
son of god hath,4,1
thou shalt deliver,3,1
upon mine eyes and i,5,1
seems,1,1
that man is nothing which,5,1
adam saying inasmuch as thy,5,1
friendly to me and who,5,1
taken for,2,2
they should love,3,1
will show you,3,1
made and he said,4,1
who am i that,4,1
and gave me fifty dollars,5,1
characters and the,3,1
but strange or not so,5,1
that he would there,4,1
lived seventy years,3,1
from all our,3,1
said the,2,2
i was answered,3,1
would not hearken unto his,5,1
enmity,1,1
adam and he slept,4,2
and prayed that,3,1
which holds the keys,4,1
will deliver thee up and,5,1
what he would call them,5,2
inquire of him,3,1
will put,2,2
wax sore in,3,1
conversion and the great zeal,5,1
children for,2,1
have sought their own counsels,5,1
it divide the waters,4,1
lesser light was the moon,5,1
i give unto thee a,5,1
whatsoever the,2,1
be right which,3,1
persecute me for telling,4,1
the gospel and,3,1
not in the,3,1
the great zeal manifested,4,1
and daughters and all the,5,3
first government of,3,1
the destruction of the wicked,5,2
were wars and bloodshed among,5,1
and tell,2,2
it is given unto,4,4
from the beginning being declared,5,1
on these stones lay,4,1
intelligent than the other,4,3
and received a,3,1
earth before the lord and,5,1
to deliver thee,3,2
should remain with,3,1
a cursing which i,4,1
to organize,2,1
prepare the earth,3,1
december and,2,1
continuing to assert that i,5,1
healing interpretation,2,1
we were ordained,3,1
the flood came,3,1
to those to,3,1
has been upon me,4,1
that there was no probability,5,1
i did for how to,5,1
breastplate,1,4
darkness and he looked up,5,1
thing that upon,3,6
prophet said,2,1
thy bosom is there and,5,1
otherwise and though they,4,1
also gave,2,2
to the heart,3,1
and repented not should be,5,1
have purposed to take,4,1
us go down,3,2
will the,2,1
one touch with,3,1
and had previous to,4,1
to repent and faith was,5,1
cover the earth and the,5,1
who held the keys of,5,1
turn from their course and,5,1
a proper and affectionate manner,5,1
midst of our afflictions,4,1
shall be as gods knowing,5,1
them that was like unto,5,1
when shall these things be,5,1
and should offer,3,1
see her they will,4,1
he does now,3,1
manner of evil against me,5,1
the sons and,3,1
accordingly a famine prevailed,4,1
angel from,2,1
moses had said,3,2
of the lord appeared unto,5,1
his own image and called,5,1
said that his,3,1
cried unto the lord and,5,1
here is christ or,4,1
are the sons of,4,1
when this,2,1
world until the,3,1
the gospel are,3,1
inhabitants of this continent,4,1
were set to do evil,5,1
in this world and,4,1
vision he knew,3,1
she was the mother,4,1
loose,1,1
enoch as i live even,5,1
wayne county in the state,5,2
passages revealed unto,3,1
was answered,2,1
could discover that he,4,1
entirely overcame,2,1
me and i beheld his,5,1
seemed to enter with,4,1
to tend,2,1
and that he acted,4,1
i shortly,2,1
vision he knew he,4,1
having looked around me,4,1
i the sea,3,1
and he commanded saying,4,1
and inasmuch as ye,4,1
cursed from,2,1
let there be a,4,1
that adam began to till,5,1
and organize,2,1
was a just man and,5,1
remainder were,2,1
a son of god,4,3
egyptian and arabic and he,5,1
our way,2,1
seed of adam save,4,1
for mine appointment unto the,5,1
as i said,3,2
thence it was,3,2
they called day,3,6
something to be,3,1
upon the children of,4,2
said let there be an,5,1
city and he called the,5,1
thy wife is a,4,1
my hands until,3,1
our removal to manchester there,5,1
the room was left,4,1
the resurrection of,3,2
the seed of cain were,5,1
spoken of among,3,1
he knew and would,4,1
