nGram,size,mormonFreq,nonMormonFreq
that he could,3,13,1
yea their,2,9,1
trees,1,20,5
ball,1,10,7
chief captains of,3,4,4
alone in the,3,1,1
make,1,176,18
ye will,2,99,4
but with,2,5,2
star,1,2,1
alone in,2,3,1
was in the,3,32,4
stricken in years,3,1,5
cast him,2,11,1
many,1,748,67
thus was,2,3,3
hearts were,2,10,6
now after the,3,3,1
of safety,2,1,2
a chief,2,3,14
to try,2,1,1
commit,1,35,3
granted unto him,3,3,1
and have,2,63,2
if ye will not,4,9,1
uproar,1,1,1
remember,1,161,2
work upon,2,2,1
wilfully,1,4,1
had passed away,3,43,1
band,1,31,29
his wicked,2,1,1
sealed,1,20,1
for the sake,3,6,1
was made known unto,4,1,1
when the,2,140,91
separated,1,11,2
swiftly,1,1,3
unto him i,3,19,1
the voice of thunder and,5,1,1
of my heart,3,4,1
heard from,2,1,1
the wickedness of their,4,1,1
garden of,2,9,1
tribute,1,8,4
by being,2,1,1
suffered these,2,2,1
even those who,3,2,4
his mind,2,7,1
them together,2,6,1
the order of,3,14,2
numbers,1,19,20
army in the,3,3,1
and a strong,3,1,1
of war at,3,2,1
seventh year of,3,7,1
have laid,2,6,1
themselves,1,215,38
when they were,3,8,5
to return to his own,5,1,1
upon them in,3,4,1
and the wisdom thereof,4,1,1
sorrow and,2,9,1
the preservation of the,4,1,1
for every,2,8,1
more than,2,31,40
even in,2,17,12
be so that,3,2,1
rise up,2,11,1
sands of,2,1,1
on the fifth day,4,1,2
the mercy of,3,1,3
that they went in,4,1,1
went out to meet,4,1,2
to return to,3,6,3
cast her,2,1,1
sons that,2,2,1
at length,2,1,2
before the,2,123,35
mark,1,11,1
the slaughter and,3,1,1
pass that they,3,143,1
captain he,2,1,1
cried aloud,2,1,3
to another,2,28,3
be known unto,3,2,1
speed,1,7,1
hiding,1,1,1
and joined the,3,3,1
land and the,3,15,1
reward,1,16,1
them but they,3,2,1
he fell upon,3,2,2
humbled and,2,2,1
spent,1,6,2
of his hand,3,1,1
cattle,1,7,3
up by the,3,10,2
glad and,2,1,1
was buried in the,4,1,1
perished in the,3,1,1
watering,1,2,1
sit down,2,9,1
his mouth and,3,7,2
even he,2,6,1
their cheeks,2,4,1
spotted,1,1,1
of gold in,3,1,1
and slew many,3,4,2
command that,2,3,2
secret,1,83,4
more numerous,2,11,1
the shore of the,4,2,1
and two,2,25,14
he could not,3,19,1
taken by,2,8,6
him and give,3,1,1
soldier,1,2,3
vessels of,2,2,59
of the army,3,3,18
and where,2,7,6
devour,1,8,2
troubled in,2,2,2
come unto the,3,20,1
beware of,2,1,1
month in the,3,2,16
ear,1,13,3
is called the,3,3,2
were two hundred,3,1,3
came not,2,1,1
be forgotten,2,1,1
advantage,1,10,2
not known among the,4,1,2
and all those things,4,2,1
unto the land,3,12,2
them and smote them,4,1,1
and a ruler over this,5,1,1
and they called the name,5,3,1
driven back,2,13,1
up against the,3,5,1
day and the,3,1,1
there is one,3,2,1
been in,2,14,1
it can not,3,1,1
across,1,9,3
father to,2,8,2
vineyard,1,101,1
them and they were,4,11,3
of the prisoners,3,2,1
lord fell,2,1,1
was appointed chief,3,3,1
war to defend,3,2,2
hearkened not unto the,4,1,1
given unto us,3,3,1
the proud and,3,2,1
going,1,20,6
now the armies of,4,1,1
quantity of,2,1,2
themselves in their,3,3,1
and some of,3,1,2
and there were none,4,1,1
south and the,3,1,2
a man whose name,4,6,4
the other on,3,2,1
their and their,3,9,2
even an,2,3,2
of righteousness for,3,1,1
for their homes,3,1,1
even at,2,11,1
for they were,3,38,13
how to,2,4,1
back into,2,6,1
even as,2,102,9
of war in,3,1,3
fathers in,2,5,1
his deeds,2,1,1
and the hearts,3,1,1
came against,2,3,3
large cities,2,1,1
said the,2,6,2
or shall,2,5,1
with great slaughter,3,1,7
that in the,3,42,4
the holy scriptures,3,5,1
battle were,2,1,1
there was another,3,2,2
wait for them,3,2,1
was buried,2,2,1
fall into,2,22,3
called and the,3,3,1
were slain and,3,9,14
and all their,3,21,2
that the wickedness,3,1,1
he stole,2,1,1
of war of,3,4,15
the lord god,3,112,2
and which,2,17,3
therefore when,2,12,1
on all sides,3,1,3
that day there,3,1,1
stop,1,16,1
the west of the,4,7,1
not in the,3,6,1
marched with his,3,1,1
be humbled,2,4,1
and tell,2,5,1
of their men,3,1,3
the work of,3,25,4
great therefore,2,1,1
they were glad,3,3,1
awful,1,47,4
in the midst of,4,25,3
thereof unto,2,2,1
was done to,3,2,1
the part of,3,4,1
the cold and,3,1,1
lilies,1,1,1
in the language of the,5,1,3
sanctuary,1,2,2
lasted for,2,1,1
his servants to,3,2,1
for they shall obtain,4,1,1
and after it had,4,1,1
neck,1,9,3
nevertheless it was,3,1,3
out of the waters,4,2,2
length of the,3,2,1
and the earth shall,4,3,1
in the cause,3,3,1
were able to,3,3,1
and they called,3,6,1
the mouth,2,33,4
will the,2,11,1
year,1,281,54
even from,2,17,7
the command,2,8,3
he stood,2,6,1
by the river,3,1,1
upon them from,3,2,3
branch,1,21,1
to tell,2,2,1
were slain by the sword,5,1,1
fled in,2,1,7
upon the kingdom,3,1,1
i go and,3,1,1
near,1,44,18
give him a,3,3,1
his men,2,26,20
six thousand men,3,3,1
silence,1,4,5
great courage,2,2,1
boldness,1,12,1
understanding,1,20,4
need,1,46,1
he raised his,3,1,1
and smoke,2,1,9
they gathered together,3,4,3
the officers and,3,1,5
fled for,2,1,1
they shall be called,4,1,1
was a righteous,3,1,1
own tent,2,1,1
and murderous,2,1,1
loose,1,10,21
hundred and twenty,3,5,1
waves of,2,4,1
the where,2,1,2
errand,1,1,1
arts of,2,2,2
would fight,2,3,1
he was the,3,4,1
their deeds,2,1,3
this time the,3,2,8
were consumed by,3,1,1
the days of,3,50,11
faint,1,4,1
thy strength and thy,4,1,1
pleasure of the,3,2,1
and those who were,4,11,1
fear of the,3,14,1
the life of the,4,6,1
it passed,2,1,1
forth,1,610,51
to the right hand,4,1,2
leopard,1,2,1
humbled,1,9,4
upon the children of,4,4,2
and they shall,3,91,4
end of speaking,3,20,1
their tribes,2,1,1
one of the,3,20,43
up the,2,71,18
secret places and,3,4,1
forts,1,5,3
them for it,3,6,2
other side of,3,2,3
and gave unto,3,3,2
end,1,161,14
the inhabitants of,3,14,7
sun and,2,2,2
forty,1,35,13
a second time,3,2,4
blood of man,3,1,1
provisions which,2,3,1
that the armies,3,13,1
seventy,1,19,5
soon after the,3,1,1
the east in,3,1,2
and while,2,10,2
led into,2,5,1
repent of,2,42,2
seventh,1,22,11
them to go forth,4,1,2
gathered themselves,2,10,2
children of,2,174,18
nine of,2,1,1
have only,2,3,1
be slain for the,4,2,1
near to,2,5,1
rising of,2,1,3
the substance,2,3,1
tried,1,4,2
to go against,3,8,15
the city before,3,1,1
when the army,3,1,4
three hours,2,4,4
chose,1,9,3
dust of the,3,6,4
arrived in,2,7,4
fell into their hands and,5,1,1
israel in the,3,4,1
forth from the,3,19,3
us the,2,11,2
strongest,1,4,3
their country and,3,6,1
the borders of the,4,33,11
side of the river and,5,1,1
was taken by the,4,3,3
of war to,3,3,2
and were led,3,1,1
themselves upon,2,3,1
the fame of,3,1,1
had surrendered themselves,3,2,1
even forty,2,1,2
in the heart of,4,1,1
had become,2,34,5
there were sent,3,1,1
father for,2,11,1
and went out,3,1,3
nevertheless it came to pass,5,1,4
he answered,2,8,2
prepared for the,3,5,1
the first year of,4,6,5
their sick and,3,2,1
on the tenth,3,1,5
matter but,2,1,2
for all,2,29,1
he had been,3,11,1
might against the,3,1,2
be at his,3,1,1
driving,1,3,1
army against,2,3,4
rod of iron and,4,3,1
men that were,3,1,3
said they,2,3,4
armies against,2,3,1
ye receive,2,7,1
people saw,2,5,1
the armies of the,4,46,2
after the name of,4,4,2
opened his mouth,3,5,4
immediately,1,18,7
trial,1,5,1
did so and,3,1,1
body of,2,10,3
righteousness,1,103,3
the dust of,3,9,1
god of israel,3,11,1
to go forth and,4,3,1
the nations of the earth,5,1,7
below,1,1,1
death and,2,47,3
the word of,3,137,3
took two,2,1,1
went down to the,4,1,1
rear with,2,3,1
were the names,3,2,1
of men by,3,1,1
which should,2,16,1
was in this,3,1,1
tribe,1,3,1
the days to,3,1,1
had lost,2,3,2
among them to,3,1,2
queens,1,3,1
one on the,3,1,1
and smote,2,6,4
slumbered in,2,1,1
their swords and,3,8,2
brave men who,3,1,1
cunning of,2,4,1
of the place,3,4,7
called and they,3,2,1
the face of the waters,5,1,4
king which,2,1,6
of prisoners,2,1,2
such things,2,10,1
as an,2,4,1
in the dark,3,3,2
victims,1,2,2
year that the people,4,1,1
horror,1,1,1
of men in the,4,1,1
the tenth,2,7,10
voices,1,9,3
nevertheless if this,3,1,1
at an,2,1,1
can be,2,19,1
himself,1,151,14
and caused them,3,1,1
to drink of the,4,1,1
stop put to,3,1,1
as by,2,2,2
captive which,2,1,1
mixed,1,1,1
glory and,2,10,3
to use,2,1,1
the land but,3,7,1
the mouths of their,4,1,2
a name,2,3,1
own house,2,10,3
the red,2,13,6
man a,2,1,4
strong men,2,3,2
again return,2,1,1
join the,2,8,2
both sides,2,6,3
nest,1,1,2
of pharaoh,2,2,1
and the friends,3,2,1
wood and,2,5,1
me ye would not,4,1,1
prophets were,2,1,1
for the space of,4,69,3
language of the,3,8,3
such,1,116,5
eye,1,35,4
the ark of noah,4,1,1
tents in the,3,8,1
the heights of,3,1,3
to the faith of the,5,1,1
the east of,3,5,1
noble,1,3,9
they had come,3,15,1
things had,2,6,1
wealthy,1,2,1
the kingdom,2,122,9
a sense of,3,3,1
came upon the,3,7,2
the nineteenth,2,8,2
shame of the,3,1,1
them with his army,4,1,1
other side of the river,5,2,2
arrived at,2,1,4
band who,2,5,1
he departed,2,14,5
shall come with,3,1,1
were and,2,15,2
on the fourth,3,2,4
all sides,2,1,3
clothing,1,9,1
to become,2,9,2
was there,2,2,5
trumpet,1,2,3
that he should,3,87,1
and and all,3,2,1
attempted,1,3,1
voice of the people,4,24,1
had been a,3,6,3
their voices and,3,1,1
now the people,3,9,1
snatch,1,2,1
that were,2,30,32
defiled,1,1,1
worship him,2,5,1
tents in,2,10,1
were all,2,33,5
news,1,1,7
remain,1,33,1
that went,2,13,7
flee to,2,1,1
flee from the,3,3,1
they should fall into,4,5,1
had gathered themselves together,4,4,1
as he,2,67,9
grey,1,1,1
returned with their,3,1,1
that the waters of,4,2,1
he and his,3,4,1
the point of,3,1,3
the bowels of,3,3,1
chaff before the,3,2,1
in the days,3,34,12
of men in,3,3,1
king army,2,1,2
and he said unto the,5,8,1
him nay,2,1,1
israel,1,212,7
at he,2,2,1
this day,2,18,9
and and and,3,21,2
go forth into the,4,8,1
as if,2,50,1
commanded the,2,6,9
therefore if ye,3,10,1
as it,2,43,24
to the land which,4,4,1
in the hearts of,4,6,2
the east to,3,2,2
his men for,3,1,1
and their weapons of war,5,2,1
was their chief,3,1,1
and many other,3,1,3
from off,2,23,1
they pitched their,3,8,1
and they saw,3,6,1
remnant of his,3,3,1
who had gathered themselves,4,1,1
therefore i command,3,2,1
pleased,1,6,10
when they,2,115,21
the south of,3,5,3
the loss of,3,22,18
received great,2,1,1
the things which,3,125,1
next,1,2,25
with pleasure,2,1,2
they chose,2,3,2
and long,2,1,1
fled to,2,12,1
about this,2,2,25
them before,2,16,2
burned,1,20,2
by their fruits,3,2,1
far,1,33,4
loud voice,2,10,1
taxed,1,1,2
physician,1,1,2
fat,1,3,1
david,1,8,16
unto the place where,4,1,1
gather together,2,20,1
saith thou shalt,3,1,1
given them by,3,1,1
neither shall,2,20,4
shed the blood,3,6,1
and they laughed,3,1,1
be sunk,2,3,1
opened,1,23,19
had never,2,2,2
strait,1,11,1
spirit of,2,108,7
of men of,3,1,1
behold,1,1635,24
was given,2,17,6
the south on,3,1,1
own souls,2,2,1
shall not suffer,3,4,1
neither shall it be,4,2,1
the seventeenth,2,4,4
than those,2,3,2
neither will i,3,3,1
their joy was,3,2,1
reading the,2,2,1
were cast,2,13,1
the glory,2,18,3
the body,2,23,2
weapons of war were,4,1,3
go into the,3,10,2
even solomon,2,1,1
and the eyes of the,5,3,1
as my,2,8,2
and as the,3,9,2
plan,1,42,3
that had been,3,7,5
be opened,2,6,1
give him,2,5,2
hunt,1,4,1
he began,2,37,3
sunk,1,11,8
was spoken,2,4,3
followed the,2,2,1
they rushed forth,3,1,1
and lost,2,1,2
to work,2,6,15
to lose,2,1,1
he had been a,4,1,1
effect,1,9,2
the blood of our,4,5,1
greater than the,3,3,4
was buried in,3,1,1
benefit of,2,3,3
fell to the,3,16,3
was wounded,2,4,9
preservation of the,3,1,1
faith in him,3,9,1
things which they could,4,1,1
they had,2,325,38
wise men,2,2,25
presented,1,1,1
few,1,59,10
and become,2,17,2
of men to,3,9,1
space of,2,82,21
of the earth shall,4,7,2
from whom,2,1,1
so was,2,2,1
the number of prisoners,4,1,1
you and ye,3,5,1
immediately after,2,2,1
not written,2,10,4
of men so,3,1,1
he should suffer,3,2,1
rested,1,2,9
took the,2,18,5
fought,1,33,55
therefore keep,2,2,1
faith,1,263,8
second month,2,3,6
exposed to the,3,5,1
ball which,2,1,2
of fine workmanship,3,1,2
have brought,2,17,2
my whole,2,2,1
being an,2,7,1
instruments,1,4,11
looks,1,3,1
the sacred,2,4,2
this did,2,9,1
he answered and said unto,5,1,2
darkness of the,3,1,1
south that,2,1,1
charge,1,10,8
in the space,3,6,4
about twenty,2,2,4
again to battle,3,7,1
fold,1,14,1
be at,2,7,2
from the west,3,5,2
be as,2,26,2
them with their own,4,1,1
wherefore the,2,48,1
became a,2,21,7
that the light of,4,1,1
of silver and,3,13,1
the moon,2,4,1
hurt,1,7,1
will no more,3,1,1
now the armies,3,1,1
defend the,2,1,4
brought with them,3,2,1
they fled into the wilderness,5,1,1
trembled,1,2,4
seventh year of the,4,7,1
nation that,2,1,1
the book,2,55,6
the nations,2,32,15
those that had,3,5,1
might not be,3,12,1
the dust,2,35,1
the face of the land,5,64,1
am,1,199,3
as to,2,33,1
an,1,373,92
food,1,43,3
as,1,1048,183
and gained,2,1,2
at,1,397,121
in judgment,2,8,1
time a,2,2,5
