nGram,size,mormonFreq,nonMormonFreq
is my name,3,4,2
of repentance,2,2,7
the wind,2,1,60
know good,2,2,1
of thee a great nation,5,1,3
were true,2,2,1
which time,2,1,2
are stretched out,3,1,2
they should repent and,4,1,1
the fathers in the,4,1,1
themselves to the,3,1,4
and delivered the,3,1,3
the will,2,1,42
a child,2,1,29
own eyes,2,1,14
till the land,3,1,1
i cause,2,2,12
the lord blessed the,4,1,4
hated of all nations for,5,1,1
of youth,2,1,1
as handle the harp and,5,1,1
you that,2,2,147
and the powers of,4,2,2
world and men,3,1,1
there for the,3,1,2
of the world and,4,2,8
day of,2,10,314
christ or there believe,4,1,1
would come he would,4,1,2
thou shalt not,3,3,240
woman,1,16,364
the end of the wicked,5,1,1
christ that,2,1,16
prayer of the,3,1,3
master of,2,2,13
a stone,2,2,41
in danger,2,1,7
seed to you it shall,5,1,1
god but,2,1,39
the hand of the,4,1,181
lo a great,3,1,1
for the remission of,4,3,5
not this,2,2,48
great even,2,1,1
a great chain,3,1,1
ye keep,2,1,8
and fifteen years and begat,5,1,1
man deceive you for many,5,1,1
he was moved,3,1,2
the air and brought,4,1,1
it cursed,2,1,1
became,1,17,106
let the waters under,4,2,1
it was for,3,1,1
and were not,3,2,3
when the son of,4,1,10
and shall hate one another,5,1,1
am i send,3,3,1
the commandment,2,3,91
a voice from the,4,1,3
now they,2,1,14
not know,2,2,21
the remission of sins that,5,1,1
whence,1,3,72
eden to till,3,1,1
was not for god,4,1,1
lord spake,2,6,144
spake and,2,4,28
a conduit,2,1,1
the heavens shall be shaken,5,1,1
to look upon therefore,4,1,1
came to pass when,4,3,142
man laid hands on,4,1,3
of the righteous,3,2,43
the word of my,4,3,2
brethren have,2,1,6
god and there,3,1,5
light they,2,1,3
times,1,6,145
stubble,1,1,18
doing and,2,1,3
thy father and,3,1,26
that there should,3,1,7
of everlasting,2,1,1
the father which,3,1,7
east of assyria,3,1,1
woman said unto the serpent,5,1,1
and over,2,13,64
man whom i,3,2,3
their god,2,3,81
when he made,3,1,2
also ready for in,4,1,1
came to pass that all,5,1,1
day to,2,1,42
lord said i will destroy,5,1,1
is upon the face of,5,1,1
the garden,2,19,29
things which they,3,1,5
now this,2,4,16
the air and to,4,3,4
be cut,2,3,71
give it,2,1,51
themselves and said,3,1,2
man became a living,4,2,1
the earth and with,4,1,1
children of the wicked one,5,1,1
nation and i will,4,1,1
lord said unto me,4,11,30
beautiful,1,1,23
do all,2,2,40
having received the,3,2,4
pass away,2,4,17
decree that,2,1,11
morning that they,3,2,1
begin to,2,4,19
because thou done,3,1,5
as did,2,1,13
behold mine,2,2,2
you this,2,2,32
so shall also the coming,5,2,3
came to pass that cain,5,2,1
eaten of,2,2,8
which was from the,4,1,1
and false prophets and shall,5,1,1
created he,2,1,3
the seventh day and sanctified,5,1,1
be thine,2,1,16
descending out of heaven,4,2,1
thee for,2,2,113
have i kept,3,1,5
between thy seed and her,5,1,1
and seven,2,2,82
it into,2,3,53
and no man shall,4,1,7
you know,2,2,2
estate and,2,2,3
image of his,3,1,2
unto my speech,3,1,2
with the and,3,2,10
do and,2,2,22
to me for,3,1,9
born a son and,4,1,1
of my god for,4,1,1
save her,2,1,2
his only,2,3,5
created in,2,1,4
creation,1,2,6
face shalt thou eat,4,1,1
thy wife,2,2,25
son saying,2,1,5
the rib which,3,2,1
to pass that he that,5,1,1
not always strive with,4,1,1
the place where i had,5,1,1
name of his son enoch,5,1,1
yet these,2,1,2
shall arise and,3,1,1
and kept not his,4,1,1
was wroth,2,2,25
day ye,2,1,15
in the presence,3,2,35
he begat seven hundred,4,1,1
bright,1,2,29
shall be famines,3,1,2
who then is a,4,1,1
thy life,2,3,35
face to,2,4,46
fought against,2,1,36
say unto one,3,1,1
own son,2,1,6
forgotten to,2,1,3
angel of his presence,4,1,1
shall cover the earth,4,1,1
thereof and by the,4,1,1
israel and in,3,1,4
any more,2,2,101
up another,2,1,2
him he would,3,1,2
the judgment of,3,1,20
children of the wicked,4,1,1
draw near,2,1,13
he had no,3,1,5
grace and,2,5,10
conscience and,2,1,2
the commandment to,3,1,2
behold i have told,4,1,1
be ye also ready,4,1,1
the night and to,4,2,1
great one,2,1,2
his flock,2,1,9
give suck,2,1,4
and departed from the,4,1,2
he was born,3,1,3
know that he,3,1,9
face of,2,17,109
herb yielding seed,3,3,2
meet for,2,5,12
both seen,2,2,2
eyes and beheld,3,1,1
multiply and replenish,3,2,2
purpose have,2,1,1
few words,2,1,3
and to every,3,6,12
ye shall receive the gift,5,1,1
enter,1,2,149
works and,2,1,19
was the father of,4,2,6
the waters bring forth abundantly,5,1,1
night and day,3,1,13
that it was from,4,8,1
shortly come to pass,4,1,1
years and begat sons,4,5,16
the fruit thereof and did,5,1,1
have turned,2,1,12
be hated of,3,1,4
in ur of the,4,1,1
you for many shall come,5,1,1
it neither shall ye touch,5,1,1
thou wroth,2,1,1
there came a,3,3,35
the evil,2,1,95
right hand of god and,5,1,1
to pass from,3,1,3
hereafter and he,3,1,1
fruit after his kind whose,5,1,1
now thou,2,1,16
it is near,3,1,3
given to the,3,1,20
be famines and pestilences and,5,1,1
coats,1,1,14
smite his and,3,1,1
them for,2,5,136
egypt to,2,2,28
seen a,2,8,8
of wisdom,2,1,27
created it,2,2,3
the eldest,2,1,4
they were delivered,3,1,1
i am god i,4,1,1
be in the end of,5,1,1
possession,1,5,104
the woman ye,3,1,1
a voice from heaven saying,5,1,6
the fear of the,4,2,30
of jacob,2,1,111
of time,2,11,9
and the gold of,4,1,3
works are,2,1,7
when shall,2,5,10
blood even,2,1,6
authority which,2,1,1
as did also,3,1,1
to worship the,3,1,5
father of all,3,2,5
thou shalt die and,4,1,3
thy will,2,1,7
cursing,1,1,12
both naked,2,2,1
and drink with the drunken,5,1,1
then shalt thou,3,1,34
the valley,2,1,124
sorrows,1,1,22
i have commanded,3,1,21
for he walked,3,1,2
judgments of the,3,1,2
winter neither on the sabbath,5,1,1
know that in,3,1,2
day from the night and,5,2,1
but one,2,1,22
man laid hands,3,1,3
hearken unto my,3,4,4
to hearken to my,4,1,1
the son of man be,5,2,11
carefully,1,1,4
years the earth,3,1,1
we went and,3,2,1
mighty men,2,1,72
divide the waters,3,2,1
have had,2,1,9
are in the,3,2,56
you shall,2,2,26
breath of life,3,3,4
desiring a,2,1,1
the rest of,3,1,97
be an hundred,3,1,2
thee before,2,1,14
they were created in,4,1,1
known in what watch,4,1,1
the dust of the,4,2,14
is given unto,3,4,7
this and,2,1,23
dust shalt thou eat,4,1,1
elijah,1,1,69
cause of,2,2,18
darkened and,2,2,8
should come unto,3,1,1
company,1,2,86
that i had seen,4,3,1
being of,2,2,4
and earthquakes in divers places,5,1,1
would have said,3,1,1
she conceived and,3,2,10
that hath life and,4,1,1
hundred and ten years and,5,1,1
mercy upon,2,1,26
not bow down to,4,1,1
taught,1,7,81
the imagination,2,1,12
me that i might,4,1,3
desert,1,1,42
a just,2,1,17
earth trembled and,3,1,2
of the field and for,5,1,1
breath of life and,4,3,1
into the garden of,4,1,2
ground but the,3,1,1
them be for signs,4,1,1
after the tribulation of,4,3,1
not aware of and,4,1,1
for mine own,3,2,7
hear of,2,2,9
is rich,2,1,2
shall not always strive with,5,1,1
remained,1,1,53
unto the ends,3,1,8
our lord,2,1,90
cause to,2,3,19
do as i,3,1,3
of egypt therefore,3,2,2
soul shall live because of,5,1,1
were ordained,2,1,2
greatly multiply thy sorrow and,5,1,1
was lifted,2,1,8
them take heed,3,1,4
his elect from the,4,1,2
man and perfect in his,5,1,1
me as to,3,1,1
my youth,2,1,18
is not true,3,1,2
journey,1,1,60
a mountain on the,4,1,3
lack wisdom let,3,1,1
given unto me,3,2,7
came down from,3,1,26
shall take,2,1,117
entered into the,3,1,41
above all cattle and,4,1,1
mount and,2,1,49
of that servant,3,1,3
life and man,3,2,1
methuselah were,2,1,1
earth the,2,1,21
of his son,3,1,24
josiah,1,1,53
was very wroth,3,1,4
hear my,2,1,32
finish the,2,1,3
came to the,3,2,67
heaven and all,3,1,1
gospel shall,2,1,2
house had,2,1,2
drunken the,2,1,4
into the mountains let him,5,1,1
moses did,2,1,8
two and,2,1,30
preached in all the,4,1,2
shall be called woman,4,2,1
bitterness of,2,2,7
his own likeness,3,1,1
i spake,2,6,27
that the sons of,4,1,2
concerning all,2,1,7
rebelled against me and,4,1,1
i hold,2,1,3
and breathed,2,2,1
made,1,56,1405
blessed is that servant,4,1,2
the blind,2,1,39
own hand,2,2,7
rose up against,3,1,9
days of enos were nine,5,1,1
and daughters,2,16,28
for thy sake,3,2,9
when i came to,4,1,4
curse,1,8,101
process of,2,3,5
and moved,2,1,1
shall appear the,3,1,1
saved but for the elect,5,1,2
world and,2,6,39
flesh is come before,4,1,1
to clothe,2,1,1
back,1,4,154
jerusalem then,2,1,2
be known,2,2,27
a sore,2,2,7
ready for in such,4,1,1
fulfil,1,1,24
witness unto all nations,4,1,1
touch it lest,3,1,1
in and there,3,1,4
the appointment,2,1,3
a soul,2,1,8
seed after,2,6,19
i heard,2,1,54
eat all the,3,1,1
that season,2,1,3
breathed into his,3,2,1
thy brethren,2,4,34
angels of god in heaven,5,1,1
for thou art,3,1,39
yea and,2,3,29
upon them for,3,1,4
the second time,3,1,28
thy transgressions and,3,1,1
instructor of,2,1,1
and called on the,4,1,3
our work,2,3,1
come nigh unto,3,1,10
she is thy sister,4,1,1
desire shall be to thy,5,1,1
abomination,1,3,76
have suffered his house to,5,1,2
condemnation,1,1,12
he said god,3,1,3
people will,2,1,5
among thy brethren,3,1,1
saw that the tree was,5,1,1
when they were created,4,2,2
i hope,2,1,7
be dry,2,1,3
a firm,2,1,1
then shall they,3,1,21
nostrils,1,2,15
me out this,3,1,2
but they hearkened not unto,5,1,1
above the firmament,3,1,2
hath the lord,3,1,37
down for,2,1,17
for them if they,4,1,1
son in,2,1,31
ye the lord,3,1,34
shall be to thy husband,5,1,1
shall the end,3,1,2
the heavens thereof,3,1,1
went out and,3,1,33
a witness unto,3,1,5
of man in heaven and,5,1,1
that evil servant shall say,5,1,1
the heart of man,4,1,6
of the generations,3,1,1
time no nor ever,4,1,1
be to thy husband,4,1,1
for it shall be,4,1,8
the mountains and upon the,5,1,1
hired,1,1,34
by day,2,1,35
shall suffer,2,1,4
and thistles shall it bring,5,1,1
cleansed from the,3,1,2
to the of the,4,1,4
an hundred and twenty,4,1,18
jesus christ the son of,5,1,3
lord had said unto,4,3,4
over the fowl of,4,4,2
and truth,2,8,22
meaning,1,1,3
reason of transgression,3,1,1
faith i,2,1,1
of the holy ghost,4,5,20
to keep the way of,5,1,1
from the four quarters,4,2,1
kindred and from,3,1,1
canaan and,2,2,20
been before,2,1,5
male,1,3,46
what thou,2,2,85
king agrippa and,3,1,2
fruit thereof and,3,1,4
repent for,2,1,3
he told me,3,3,3
trees,1,2,157
son my,2,1,3
seek after,2,1,16
of god in heaven,4,1,1
cried with a,3,3,26
had not the,3,1,1
he journeyed,2,1,3
make,1,19,1056
but with,2,1,25
am thy god,3,1,1
the flesh i,3,1,5
star,1,3,15
withdrawn from,2,2,1
and then the,3,2,3
he also brought,3,1,1
many,1,53,556
stay,1,1,33
what is the,3,1,23
the world when,3,1,1
weeping and,2,2,23
in heaven the,3,1,2
of the ground made the,5,1,1
shall receive,2,2,37
voice ye wives of,4,1,1
winter neither on the,4,1,1
is the end of,4,1,5
these there,2,1,1
son of,2,26,1602
and this is a,4,2,1
remember,1,1,148
to dress it and to,5,2,1
know and,2,1,15
the east of the,4,1,2
earth which,2,1,15
shall ask it shall be,5,1,1
unto the god,3,2,12
troubled for,2,1,5
pertaining to the kingdom,4,1,1
and adam lived,3,1,1
unto him i,3,1,27
of my heart,3,2,9
after he begat jared eight,5,1,1
the midst of the water,5,1,1
the earth after their,4,3,1
thy face shalt thou eat,5,1,1
in this life,3,1,4
peter james,2,1,1
brought forth out of,4,1,10
some time,2,1,2
needed,1,1,2
how is,2,3,30
numbers,1,1,4
the lord face to,4,1,1
with abel,2,1,1
tumult of,2,1,2
and glory,2,2,17
and another,2,1,59
vision of the almighty,4,2,2
the voice of the lord,5,4,49
it because that,3,1,1
seeds,1,1,5
doing good,2,1,1
and kingdom,2,1,6
sight and good for food,5,1,1
rise up,2,2,67
an oven and,3,1,2
return unto,2,2,40
in at the,3,1,12
at length,2,3,1
son to,2,1,21
they divided the,3,1,2
mark,1,1,38
and laughed,2,1,3
his hands upon,3,1,9
pass that they,3,1,2
spake unto moses,3,5,111
away my life,3,3,2
hath god said ye shall,5,1,1
to do evil,3,1,13
to another,2,1,93
coming and of the end,5,1,1
and the whole earth,4,1,1
turned away,2,1,24
the beginning and the end,5,1,2
up against abel his,4,1,1
tongues and,2,1,9
bare,1,8,185
no not the angels,4,1,2
oven and all the,4,1,1
land and the,3,2,15
the lord from,3,1,26
but of the fruit,4,1,1
immediately i,2,1,2
do but,2,1,5
it in order,3,1,2
for they will not hearken,5,1,1
the earth were finished,4,1,1
living soul,2,4,3
ever before,2,1,4
under the firmament,3,1,2
olives the,2,1,2
his father and his,4,2,16
my spirit shall,3,1,1
day and the darkness,4,2,1
said unto cain,3,3,2
waters which were under,4,1,1
creature after his kind,4,2,1
many shall come in my,5,1,3
set them in the firmament,5,1,1
he could not,3,1,15
divided the,2,4,14
upon which thou,3,8,2
do ye not,3,1,12
answer to,2,1,6
quarters of,2,2,3
after his return,3,1,1
said let them,3,1,3
in and came,3,1,3
it was impossible,3,1,1
i am christ and shall,5,1,2
begat and lived after he,5,1,8
and subdue it and have,5,1,1
and all the children of,5,1,6
stir,1,1,20
come unto the,3,1,18
to come to the,4,1,2
planted a garden eastward in,5,2,1
was come near to,4,1,1
the lord of that,4,1,3
remember that,2,1,16
the beasts of,3,2,43
upon the land which,4,1,1
seers,1,1,6
lord god caused,3,3,1
this should be,3,1,1
false christs and false prophets,5,1,2
lived ninety,2,1,1
is called the,3,1,10
be forgotten,2,1,10
removed from thence,3,1,2
she shall be called,4,2,3
upon the earth after his,5,1,2
unto a mountain on,4,1,1
belly shalt thou go and,5,1,1
unto the land,3,1,43
shall be called after,4,1,1
the disciples came unto,4,1,1
thee except thou,3,1,1
shall dwell there,3,1,3
forth children and thy,4,1,1
and they the,3,2,2
the finger of,3,2,4
worship god,2,1,5
the angels of god,4,1,8
day and the,3,6,13
handle the harp,3,1,1
sojourn,1,1,33
field upon thy,3,1,1
he looked up and,4,1,3
this ministry,2,1,3
lesser light,2,7,1
noah five,2,1,1
now learn,2,1,2
hearkened not unto the,4,1,6
common among,2,1,1
and female created he,4,1,2
son of god hath,4,1,2
herb for meat and it,5,1,1
thou shalt deliver,3,1,4
upon mine eyes and i,5,1,1
account of the,3,4,1
for they were,3,2,30
hearkened and heard,3,1,2
how to,2,1,12
that bless,2,1,1
taken for,2,2,4
and he commanded us to,5,1,1
seduce,1,1,3
at the coming,3,1,3
who am i that,4,1,1
lived seventy years,3,1,2
said the,2,2,130
i caused,2,2,7
garden of eden to,4,3,2
moon shall not give her,5,1,3
enmity,1,1,8
neither shall ye touch it,5,1,1
adam and he slept,4,2,1
and prayed that,3,1,1
but the lord said,4,2,4
what he would call them,5,2,1
will put,2,2,27
version,1,1,1
children for,2,1,13
it divide the waters,4,1,1
whatsoever the,2,1,7
the gospel and,3,1,3
for good and,3,1,4
of his house,3,1,27
not in the,3,1,43
and daughters and all the,5,3,9
prudence,1,1,3
and tell,2,2,24
the footstool,2,1,1
it is given unto,4,4,2
nations and thou,3,1,2
the work of,3,2,103
to deliver thee,3,2,7
and he called the,4,1,14
of that light,3,1,2
hundred and thirty,3,4,33
him who is,3,2,5
the flood came,3,1,2
and creeping things and,4,2,2
breastplate,1,4,28
begat enos eight hundred,4,1,1
will not hearken,3,1,17
thing that upon,3,6,11
prophet said,2,1,1
he should be cast,4,1,1
the hills and,3,1,11
your god and,3,1,21
of the time,3,2,2
also gave,2,2,2
to the heart,3,1,3
can behold,2,2,1
i am god,3,3,10
us go down,3,2,2
will the,2,1,31
but for the elect sake,5,1,2
shall be as gods knowing,5,1,1
when shall these things be,5,1,3
through thine,2,1,1
the sons and,3,1,2
the first time,3,1,3
angel from,2,1,1
understanding,1,1,160
spake these words unto,4,1,2
moses had said,3,2,3
of the lord appeared unto,5,1,7
garden and i was,4,1,1
me this is,3,1,5
god himself,2,1,6
rose up against abel his,5,1,1
the firmament and it,4,1,1
cried unto the lord and,5,1,8
here is christ or,4,1,2
are the sons of,4,1,34
when this,2,1,8
and breathed into,3,2,1
she was the mother,4,1,2
loose,1,1,29
beast of the earth,4,2,6
when i had,3,1,9
of sheep,2,1,9
he shall find,3,1,3
a strange land,3,2,4
fourth river,2,1,1
they him,2,1,4
the days of,3,18,221
abel he,2,1,1
i shortly,2,1,1
cursed from,2,1,1
let there be a,4,1,1
was a just man and,5,1,2
kindly,1,1,10
our way,2,1,6
as i said,3,2,4
thence it was,3,2,1
praying,1,1,20
upon the children of,4,2,7
as far,2,2,7
the resurrection of,3,2,13
with clay,2,1,3
in eden,2,2,2
voice but,2,2,3
the inhabitants of,3,3,159
seventy,1,2,61
above every beast,3,1,1
flood came and,3,1,2
before him with,3,1,5
with the apostles,3,1,1
the light day,3,2,1
hear of wars,3,2,3
in the land upon the,5,1,1
seventh,1,7,120
shall come to pass,4,2,129
to take his clothes,4,1,1
of the spirit,3,2,35
all that thou in the,5,1,1
he had seen a vision,5,1,1
whales and every living creature,5,2,1
hypocrites there shall be,4,1,1
between thee,2,2,5
the fruit of a,4,1,1
have eternal,2,1,4
is pleasant to,3,2,1
their wickedness and,3,1,2
all the days of,4,11,60
and all these,3,2,11
beheld all the,3,1,2
as many of,3,1,2
for the seed,3,1,2
the lord hearkened,3,1,7
me satan,2,1,3
of my flesh,3,2,3
chose,1,1,29
ghost which,2,2,4
in the earth beneath,4,1,3
woods,1,2,1
called his wife name,4,1,1
in the firmament of,4,4,4
again into,2,1,17
will save,2,1,21
behold i am the lord,5,1,1
years and begat a,4,2,2
the borders of the,4,1,8
he put his hand upon,5,1,1
eaten of the,3,2,3
i looked,2,4,22
this king of,3,1,4
lest any,2,1,13
marrying and giving in marriage,5,2,1
out of eden to,4,2,1
it seemed,2,2,7
and closed,2,2,1
shall be hated,3,1,4
nations and then,3,1,1
prepared for the,3,1,5
garden eastward in eden and,5,2,1
say blessed is he,4,1,2
shall be cut off from,5,1,22
said unto me prophesy,4,1,1
shall these things,3,1,3
ye shall not eat,4,2,11
partakers of,2,1,18
strange thing,2,1,2
to take away,3,4,11
no god beside,3,1,1
joseph,1,10,250
unto thee but,3,1,11
god set them in the,5,1,1
and formed,2,2,1
after the name of,4,1,7
the tree yielding fruit,4,2,1
in the earth and the,5,1,2
was glad,2,1,9
a commandment to,3,1,4
immediately,1,11,55
every living creature that,4,4,5
of prophecy and,3,1,1
righteousness,1,15,306
holy place let him understand,5,1,1
himself to the earth,4,1,1
a day when he,4,1,2
the dust of,3,2,22
said behold we,3,1,1
born unto,2,1,21
created man in the,4,1,1
for the earth is filled,5,1,1
that it shall,3,1,23
the word of,3,7,351
god said unto the,4,2,3
bitter and,2,1,2
told thee,2,1,5
which should,2,2,17
spake these words,3,1,4
when thou,2,1,168
to thee and thou shalt,5,1,3
sins and not for,4,1,1
by the holy,3,2,10
i had made and,4,2,1
in the midst of all,5,1,2
how is it that,4,2,12
for their own,3,1,2
in the dark,3,2,5
come down unto,3,1,4
thou shalt be a,4,1,10
of desolation spoken,3,2,2
became a living,3,2,1
say in his,3,1,2
love upon,2,1,2
that cain brought,3,1,1
i have found,3,2,27
coats of skins and clothed,5,1,1
that those,2,2,6
which i had made,4,6,2
and watered the whole,4,2,1
also in the midst,4,2,1
of the everlasting,3,1,3
glory and,2,6,55
they draw near,3,1,1
disciples came unto him privately,5,1,1
said who,2,1,35
yet he knew,3,1,1
rebelled against,2,2,28
he took me,3,1,2
saying tell,2,2,7
said unto him i,4,1,18
and then shall the,4,1,1
not come again,3,2,1
of men for,3,1,2
prayer of,2,1,14
the rib,2,2,1
be ye also,3,1,3
then his,2,1,12
said why,2,1,11
of pharaoh,2,8,52
them forth,2,1,21
went to the city of,5,1,1
such,1,17,249
he took it,3,1,6
was angry,2,2,7
noble,1,1,7
the east of,3,4,7
be punished for,3,1,1
suck,1,1,19
had accomplished,2,1,1
every green herb,3,1,1
is near even,3,1,2
high mountain,2,1,12
all the families of the,5,3,8
thou not have,3,1,5
another and shall hate,4,1,1
which i am,3,1,3
of life and eat,4,1,1
the days of enoch were,5,2,1
as i have,3,2,33
said let the waters under,5,1,1
arrived at,2,1,2
to prophesy,2,2,3
itself upon,2,1,1
and methuselah lived after,4,1,1
from thy face shall i,5,1,1
of skins and clothed,4,1,1
they can not be,4,1,4
also after that,3,1,2
brethren and said,3,1,3
was there,2,1,57
that he should,3,3,59
with those,2,1,6
and at the,3,1,27
as for,2,1,120
conceived and bare cain,4,1,1
of wars see that,4,1,1
god make coats of skins,5,1,1
to bring to,3,1,4
have compassion,2,1,16
myself alone,2,1,3
were delivered,2,1,5
the jews,2,3,230
that were,2,2,483
that i the,3,1,14
above them,2,2,4
gift of the,3,4,3
thou eat of,3,1,3
in the open firmament,4,1,1
and that was,3,1,3
worship him,2,1,13
were all,2,2,41
remain,1,4,79
false christs,2,1,2
head and thou shalt,4,1,2
my beloved,2,3,45
winter neither on,3,1,1
rule the,2,7,3
rain upon,2,3,14
he commanded them saying,4,1,3
i became a,3,1,2
have dominion over the,4,3,5
brightness,1,2,22
of the ground which,4,1,1
another that shall not be,5,1,3
and the fowls of,4,1,9
spake the word of,4,1,1
in the days,3,6,90
and god saw,3,2,9
not overcome,2,1,2
female created he them,4,1,2
and he said unto the,5,2,9
the kingdom shall,3,1,7
israel,1,4,2575
were their,2,1,10
go not forth behold he,5,1,1
this day,2,6,325
is the sign,3,1,2
sons and their,3,1,17
seven hundred,2,2,40
ground the,2,1,2
commanded the,2,2,51
in the hearts of,4,1,1
the devil the,3,1,1
after him and,3,1,16
and many other,3,2,6
day from,2,4,15
flesh and his,3,1,1
and they saw,3,1,4
knowledge and,2,2,28
betray,1,1,18
when they,2,9,412
unto me prophesy,3,1,2
remission of sins and,4,1,1
the things which,3,1,55
evil and now lest,4,1,1
and he said i,4,2,39
therefore it is,3,1,5
wife again and she,4,1,1
loud voice,2,5,49
her who was,3,1,1
and repented,2,2,3
unto a mountain on the,5,1,1
noah saying,2,1,2
years and let,3,1,1
he ascended,2,1,3
also that,2,2,52
should be cast,3,1,3
took the man,3,2,1
neither shall,2,1,162
opened,1,6,137
spirit of,2,11,139
was filled with,3,1,14
comfortable,1,1,2
be ordained,2,1,1
thenceforth,1,2,4
and they also,3,1,6
thou shalt hearken,3,1,4
and they dwelt,3,1,11
to come in,3,1,7
eastward in,2,2,1
with wonder,2,1,1
thrown down,2,2,14
call them and,3,2,1
go into the,3,1,35
which belong,2,2,1
the number of thy,4,2,4
be gathered together,3,3,14
on the housetop,3,1,2
the coming of the son,5,5,3
he began,2,2,62
all that,2,7,564
the woman yea hath,4,1,1
made the firmament and,4,1,1
is rich in mercy,4,1,1
sunk,1,1,7
them in the firmament,4,1,1
get thee hence,3,1,3
he begat,2,10,22
baptized,1,15,61
morning were the fifth,4,1,1
spirit is,2,1,13
that i am he,4,1,7
as many as,3,7,32
after he begat noah,4,1,1
unto all nations,3,2,2
said what thou,3,1,7
the fifteenth day,3,1,13
and he dwelt in the,5,1,1
and thou shalt bruise his,5,1,1
they had,2,8,259
great famine,2,1,2
he called his name enos,5,1,1
and become,2,1,9
you except,2,1,5
thy head and thou shalt,5,1,1
i cause to,3,1,2
on the seventh day from,5,1,1
wilt thou not,3,3,12
the fathers have,3,1,2
posterity,1,2,9
god said let the earth,5,2,2
immediately after,2,4,1
adam knew his wife again,5,1,1
in god the,3,1,1
to rule the day and,5,3,1
and in those,3,3,7
rested,1,3,21
all shall,2,1,7
nations for my name sake,5,1,1
and departed from,3,1,2
was true,2,1,2
faith,1,7,247
the lord had spoken with,5,1,1
art one of,3,1,3
this did,2,2,5
thy command,2,1,1
all they,2,1,46
fold,1,1,9
process of time,3,3,5
became a,2,3,23
wife and they will kill,5,1,1
and we believe,3,1,1
hurt,1,1,63
which he did,3,1,20
with any of,3,2,2
died,1,14,201
content,1,1,16
that which is to,4,1,3
damned,1,1,3
of such as dwell in,5,1,1
all them,2,2,50
trembled,1,2,21
honest,1,1,7
think not,2,1,6
noah found grace,3,1,1
me shall never,3,1,3
a deep,2,2,9
may declare,2,1,4
it not and,3,2,7
am,1,37,874
an,1,52,1699
food,1,3,55
firmament from,2,1,1
as,1,170,3520
me out this day,4,1,2
at,1,57,1570
shalt thou eat bread,4,1,1
firmament in the,3,1,1
and even the,3,1,2
yet but,2,1,4
of the children of men,5,2,4
belly shalt thou go,4,1,1
be,1,238,7013
greatest of,2,1,5
time i,2,4,9
was called and,3,1,2
spirit ye,2,1,2
by,1,115,2625
of remembrance was,3,1,1
they will say,3,1,5
at the head of,4,1,3
were under the,3,2,7
in company with,3,1,1
form and,2,2,3
of the trees of the,5,1,1
that ye might be,4,1,6
be a firmament in the,5,1,1
despised and,2,1,8
not read,2,1,8
for this cause i,4,1,4
to be the,3,2,15
inhabitants thereof,2,5,20
mouths of,2,1,3
and wonders that if,4,1,1
give to,2,1,33
dry and it,3,1,1
came down in the,4,1,1
blessed the,2,3,22
my bones and flesh of,5,2,1
power of satan,3,1,1
be for,2,6,85
language,1,6,27
sweat of thy face,4,1,1
do,1,27,1368
saw that the,3,2,25
his bowels,2,1,8
