string,n,frequency
the morning about the rising,5,1
of time,2,4
the commandment of,3,1
thereof but when,3,1
they were about equal,4,1
king inasmuch,2,1
the generous people of columbia,5,1
wafted the hostile,3,1
was given in trust,4,1
sight was shocking to,4,1
profaned the,2,1
name of their captain is,5,1
he had brought,3,1
whose cunning,2,1
his heart was like unto,5,1
britain the slain and,4,1
them battle and the,4,1
the king then will,4,1
been silent many,3,1
be led on to,4,2
the strong powers of europe,5,1
the acts of chauncey and,5,1
with his men for they,5,1
without cost,2,1
in charge to oliver,4,1
many weapons,2,1
cf columbia triumph,3,1
country and that soul which,5,1
from off their,3,1
and whose name was mix,5,1
the the voice of many,5,1
man and he had,4,1
tickled caleb mightily and,4,1
heaven and the yawning,4,1
become captive to the men,5,1
in his rear,3,1
the barbarians called tunis,4,1
the prophet daniel cast,4,1
fought with them,3,1
away and his,3,1
now when the vessels,4,1
britain in multitude as,4,1
disdain to,2,1
the king called the narcissus,5,1
communed with claiborne the,4,1
the great sent out,4,1
of the war with the,5,1
the smoke thereof was,4,1
people of columbia heard,4,1
earth how long shall thy,5,1
was a man well skilled,5,1
their wits they,3,1
solomon whose wisdom,3,1
eight thousand miles and,4,1
elijah,1,2
of columbia commanded by pike,5,1
towards a place called black,5,1
caledonia,1,2
the eagle in,3,1
now when there was,4,1
the put,2,1
the place where he landed,5,1
a man having a millstone,5,1
chief captain named,3,1
expired upon the waters,4,1
that whistled about them in,5,1
letter was written,3,1
the length thereof was,4,1
a smaller vessel of,4,1
sailed towards the island of,5,1
of the king were taken,5,1
about the third,3,1
were lopped,2,1
flashes of,2,2
of the valiant captains under,5,1
cf columbia that were massacred,5,1
country at the expense,4,1
king lost,2,1
plunder even much,3,1
nigh the miami rapids,4,1
trumpet the cymbal the,4,1
ten years ago there was,5,1
with swords,2,2
this moment the,3,1
the king he was treated,5,1
liberty and violated the,4,1
of the navy of,4,2
attacks by the british upon,5,1
and wherefore,2,1
servants of the kingdom of,5,1
hard to drive the,4,1
some large vessels of britain,5,1
together his captains of fifties,5,1
great when,2,1
joy for he had defied,5,1
him into the den of,5,1
knew no cowardice but with,5,1
he had ordered his,4,1
had been to,3,1
east and he was,4,1
work so that they groaned,5,1
and pirates,2,1
time and said,3,1
were compelled to fight,4,1
cruise capture of the states,5,1
with the of the states,5,1
lamentations over him and the,5,1
of europe and the,4,1
they came against,3,1
the eagle of,3,2
and wickedness of traitorous men,5,1
afterward that william was called,5,1
and surrendered the eagle up,5,1
saying ye shall pay,4,1
frolic and getting entangled therewith,5,1
and chandler made,3,1
that he come against,4,1
and was returning to,4,1
columbia to bow down before,5,1
lakes on the borders of,5,1
out against the fleet of,5,1
however he fought,3,1
were overshadowed by the,4,1
time being the thirtieth,4,1
now utter forth their thunders,5,1
instructed in the ways of,5,1
they recommended,2,1
their chief prophet was,4,1
blood with the strong waters,5,1
that the mighty,3,3
surrendered the eagle up to,5,1
yea these,2,1
the vessel of columbia and,5,1
entered into the,3,1
confused and surrendered the,4,1
yielded,1,3
of the night and the,5,1
from the island which,4,1
they leap with,3,1
pass on the third,4,1
river mississippi in,3,1
a foul fashion of fighting,5,1
of lightning in her,4,1
our mighty squadrons,3,1
they might meet the,4,1
up by the hand of,5,1
eagle of columbia whilst the,5,1
was here even,3,1
of pittsburgh where,3,1
honor given them throughout the,5,1
of solomon that,3,1
two and,2,1
flourishes where the heat,4,1
engines to work and,4,4
and cunning men of,4,1
called gain boats,3,1
when he became,3,1
that the sons of,4,1
would have the,3,1
balls like shooting,3,1
after a short deliberation,4,1
fine country and a,4,1
of his army from,4,1
a fine,2,1
pass that one of,4,1
to pass about this,4,1
rose up against,3,1
and brought harrison and,4,1
great river which,3,2
satan and about two,4,1
columbia on the borders of,5,2
the province of upper,4,1
wounded about an,3,1
a noise like unto thunder,5,1
evil for he had,4,1
fleet to the port of,5,1
straitened and he,3,1
attempt,1,2
have we meditated upon the,5,1
wrath was kindled and their,5,1
words waved upon her,4,1
parted from,2,1
destroyed their tents,3,1
now there was a,4,1
the gallant coffee,3,1
to an ad vantage,4,1
sent forth the weapons of,5,1
abundantly and wounded them in,5,1
noises were,2,1
of the sun when the,5,2
year of the decree of,5,1
that was preparing,3,1
were overcome they cried aloud,5,1
engines of destruction commanded,4,1
hands in token,3,1
frolic and the captain,4,1
round about niagara became,4,1
gallant morgan with two hundred,5,1
into practice during the,4,1
captain hull,2,1
committed depredations against the people,5,1
britain gnashed their teeth,4,1
themselves and prepare for,4,1
dangerous place called pass,4,1
of one yankee to,4,1
and would have taken her,5,1
the avon and sunk,4,1
of destruction and strove to,5,1
of the great sea called,5,1
after letting his destroying engines,5,1
orpheus capture of the,4,1
to glory,2,2
time and the,3,1
captain scorpion,2,1
flag to,2,1
instruments fell sweetly,3,1
they strove to lead him,5,1
were spread over the whole,5,1
all mighty men,3,1
hope that,2,1
commanded by rodgers returned a,5,1
above his enemies and,4,1
great were pleased with the,5,2
of heaven and they,4,1
and that the host,4,1
among other,2,1
certain dangerous place called,4,2
this time that there,4,1
the fierceness of,3,3
noise that sounded along,4,1
of the governors,3,1
norfolk in the state of,5,2
not disheartened neither were,4,1
was compelled to fight,4,1
that stephen a chief,4,1
put windows,2,1
the masters of,3,1
the stolen men of,4,1
camp with fire,3,1
was more than all,4,1
benefit of the people,4,1
so that the chief,4,1
to the ship of,4,2
landed them nigh unto the,5,1
britain moved towards the,4,1
the eagle up,3,1
carried them across the,4,1
was tremendous,2,1
had been in,3,1
thing william,2,1
the poor the,3,1
called and there was a,5,1
the officers of the ship,5,1
efforts of a few unorganized,5,1
with a pen of,4,1
off and the,3,1
and as he was the,5,1
to make captive,3,1
them when their,3,1
and drove them back,4,1
and preached for the,4,1
the other side of,4,3
command in all about two,5,1
has fallen,2,1
decatur so,2,1
with the banner of,4,1
the middle of,3,1
throughout all the earth and,5,1
the path of,3,1
little which he was,4,1
men and went against the,5,1
of the weak vessels of,5,1
king of spain,3,1
smote their chief warrior,4,1
slain and seventeen,3,1
upon another with great violence,5,1
what thou,2,1
and the air is perfumed,5,1
captain whom they called,4,1
yea their,2,1
but the rest,3,1
trees,1,5
the fire and smoke,4,5
new york to albany,4,1
suddenly the waters,3,1
bodily infirmities but,3,1
not been heard,3,1
held in bondage forty,4,1
of the wilderness beheld the,5,1
of the mouths of,4,1
the next day when the,5,4
chesapeake fell close,3,1
strong hold of kingston,4,2
william or,2,1
about two hundred of their,5,1
of a great man,4,1
made captive liberty,3,1
the king of and,4,1
by a captain whose name,5,1
a chief,2,14
william that they might have,5,1
to glory and the pillars,5,1
were a grievous plague to,5,1
it and taken,3,1
time to save,3,1
granted unto him,3,1
thy name be,3,1
the river which is,4,3
and burnt them also,4,1
work upon,2,1
capturing the royal,3,1
army of hampton,3,4
whose ignorance might plead,4,1
frowns of the,3,1
to pass on the tenth,5,1
vessels kept their engines,4,1
their strong hold and,4,2
their backs against him,4,1
and thirty of the barbarians,5,1
of war by,3,1
day before whilst,3,1
covenant in writing,3,1
him many days,3,2
penguin by the hornet captain,5,1
unto him i,3,1
gordon,1,1
man was robert fulton,4,1
the great on the twenty,5,1
against william was made,4,1
claiborne the governor,3,1
opened their,2,6
third month he,3,1
carrying the,2,2
were abundant and tremendous was,5,1
was taken out of the,5,1
proclamation to the young men,5,1
account for his evil,4,1
paw of the,3,1
his mind,2,1
space of five hours when,5,1
humbled since the,3,1
of war at,3,1
of was as,3,1
third month in,3,3
about the going,3,2
of columbia learned those things,5,1
columbia commanded by a man,5,1
horde of savages,3,1
their hearts failed,3,1
and the wisdom thereof,4,1
mother they leap with joy,5,1
a certain small vessel of,5,1
provinces and towns,3,1
a kinsman of stephen,4,1
rise up,2,1
that day was two score,5,1
capture of the boxer by,5,1
the mercy of,3,3
that they went in,4,1
to return to,3,3
hundreds and spake unto,4,1
glass hath passed the,4,1
vernacular tongue,2,8
issues his,2,1
the falling thereof was terrible,5,1
montreal until he came,4,1
of the king came in,5,1
out right,2,1
princely ruler and all,4,1
men of britain the slain,5,1
so that their loss,4,1
mighty lay a,3,1
as they fled nevertheless,4,1
awful day,2,1
thyself and,2,1
in haste to the,4,1
and sat their,3,1
he is a living witness,5,1
of creatures which are,4,1
unsolicited offered their services,4,1
a prey unto them and,5,1
the counsellors and,3,1
of britain but the eye,5,1
country for he,3,1
against a village called,4,1
were compelled to weep,4,1
thousand hogsheads of,3,1
the lake ontario,3,4
the strength of britain,4,2
even caleb the strong,4,2
chosen fighting men who were,5,1
of gold if,3,2
british seamen brown captures,4,1
men of columbia was also,5,1
made a feast for,4,1
praise poured out upon them,5,1
of gold in,3,1
for he is busied with,5,1
sir name was,3,1
craggy nest,2,1
were among the captains,4,1
britain made an end of,5,1
the fowls and took them,5,1
of jack son rushed upon,5,1
the war raged between,4,1
moreover one of the,4,1
of the king came to,5,1
arthur expedition into canada,4,1
sallied out of,3,1
of with a bit of,5,1
is called kingston,3,1
cried aloud for mercy saying,5,1
daunt less courage,3,1
winds of the north and,5,1
a ball which they,4,1
decatur in,2,1
thing he transgressed the,4,1
i hearken unto him and,5,1
lead in abundance,3,1
saw that the host of,5,1
forehead,1,1
of maine moreover,3,1
engines which vomited,3,1
be forgotten,2,1
and slew numbers,3,3
floyd went against them with,5,1
make a league with,4,2
into the hottest of,4,1
his name was spoken,4,1
took the charge of the,5,1
into their winter camps at,5,1
thereof mounted towards,3,1
decatur of,2,1
princes and the,3,2
columbia had become great,4,1
upon the waters nay even,5,1
she had been discomfited,4,1
was ignoble about two,4,1
was about the going down,5,1
of britain moved upon,4,1
and a ruler over this,5,1
unto the land,3,2
honored,1,8
and they slew some of,5,1
by broke,2,1
virtue when he heard,4,1
driven back,2,1
with brave men went out,5,1
georgia tennessee,2,1
construct the vessels,3,1
us hewers,2,1
upon a smaller,3,1
shivering soldier over,3,1
another fighting vessel of,4,3
discovered afar off one of,5,1
name was set,3,1
the place round,3,1
decatur compelled him to,4,1
of the prisoners,3,1
brave scott was wounded,4,1
caused the engines to,4,1
war to defend,3,2
on the next day they,5,2
of britain and compelled them,5,2
her and capture at,4,1
hibernia and him they made,5,1
eight handled,2,1
had done speaking,3,1
whom they tailed,3,1
those who were called the,5,1
sat the destroying,3,1
back into,2,1
of war in,3,3
was none to defend,4,1
roar of distant waterfalls catches,5,1
came against,2,3
of war he,3,2
columbia the captains and the,5,1
man called daniel,3,1
on to the,3,1
said the,2,2
with great slaughter,3,7
tongue might,2,1
was buried,2,1
the beautiful edifices with,4,1
sailed along the,3,1
the brave captain of,4,1
and all their,3,2
care of the halt and,5,1
hundred thirty and five,4,2
of war of,3,15
and to contrive for,4,1
therefore when,2,1
hands and twelve of the,5,1
on all sides,3,3
brown resumes,2,1
great were disappointed in,4,1
samuel to take,3,1
army to overwhelm,3,1
they appeared before the,4,1
and fort erie,3,2
marched with his,3,1
strong hold of about seventy,5,1
from rushing for ward towards,5,1
the peacock sunk,3,1
and tell,2,1
these wonderful,2,1
and made spoil thereof,4,2
vessels of chauncey came nigh,5,1
warriors gave,2,1
they were glad,3,1
another touching the matter and,5,1
the name thereof fulton,4,1
put their fingers in,4,1
are easily inflamed and,4,1
the part of,3,1
slaughtered at the river,4,1
large quantity of the,4,1
of their spite because he,5,1
the eighth month about,4,1
his servants to,3,1
constitution beheld her when she,5,1
to glory and to,4,1
of its mouth was about,5,1
suffered these feeble,3,1
british seamen,2,1
wounded of the king fleet,5,1
she was puffed,3,1
captains and his men of,5,1
remember with joy the strength,5,1
will the,2,1
it happened on,3,4
loose their destroying engines,4,1
the command,2,3
sore pushed and the phantom,5,1
the rulers yea all,4,1
and kept the,3,1
were they deceived in,4,1
to tell,2,1
fled in,2,7
and it was early in,5,1
but the hand of the,5,1
accordingly they flocked in multitudes,5,1
the balls of heavy metal,5,1
and maimed of the people,5,1
in years and must,4,1
verily this dog,3,1
slaughter was,2,4
the officers and,3,5
of the capture of the,5,1
the dusk of,3,1
to mean neck or nothing,5,1
at the name,3,2
them the voice,3,1
and miller great,3,1
territory his,2,1
passed over her as,4,1
him kindly and showed much,5,1
the where,2,2
these yankees take from,4,1
to beard the mighty lion,5,1
british and,2,1
fix a strong hold on,5,1
days after harrison returned,4,1
book of these,3,1
remembered by ages,3,1
of britain strove hard,4,2
his destroying engines slew,4,1
but imagination,2,1
which is called cape,4,1
in the contemplation,3,1
to the south and to,5,1
hard against claiborne but,4,1
upon the children of,4,2
jackson about two thousand five,5,1
and seven maimed a circumstance,5,1
end of speaking,3,1
hundred brave seamen,3,1
and wilkinson and,3,1
went not into the hold,5,1
of an eagle his strength,5,1
ohio,1,5
partake thereof and refresh,4,1
sylph capture of the and,5,1
of war have led us,5,1
being weighed are more than,5,1
columbia called san salvador,4,1
as it is written,4,4
seventy,1,5
even from niagara to,4,1
said surely ye are,4,1
of fifties and his,4,3
his army towards heights,4,1
hundred furlongs where the destroying,5,1
schooner dominica of guns,4,1
for when he had conquered,5,1
saw the goodness,3,1
led into,2,1
seventh,1,11
and when the term of,5,1
was completed they departed to,5,1
which had been written by,5,1
of georgia and the of,5,1
so of a,3,1
a fleet,2,1
and shot at the vessels,5,1
her had been to,4,1
it happened in,3,1
the anniversary,2,1
waving of their squadrons,4,1
and their counsellors said lo,5,1
his own mind but,4,1
tried,1,2
bay of chesapeake committed,4,1
when he followed,3,1
the charge against,3,1
gibson and many,3,1
he who is slain,4,2
been a captain in,4,1
chose,1,3
he and his brave mariners,5,1
the hands of the brave,5,1
constitution like in the fiery,5,1
and hopkins,2,1
his services in this,4,1
upon these yankees and,4,1
with and who were sent,5,1
and their natures were,4,1
heart of failed him,4,1
about the great bay,4,1
the christian era on the,5,2
engines of death loose upon,5,1
have the destroying,3,1
strongest,1,3
horror that,2,1
side of the river and,5,1
if ye will not prove,5,1
thunders upon them,3,1
about the ninth,3,1
of war to,3,2
be employed against,3,1
themselves upon,2,1
two strong ships of the,5,1
even forty,2,2
they the horses from,4,1
the red savages before them,5,1
george to,2,2
his reason and make him,5,1
of silver but,3,1
of wax of,3,1
declaration of war in great,5,1
nevertheless it came to pass,5,4
this decree of the council,5,1
many valiant men even,4,1
the contemplation of his,4,1
destruction commanded by a gallant,5,1
deadly which,2,1
land of columbia even james,5,1
shall record it in,4,1
who followed after,3,1
she might be consumed and,5,1
he had been,3,1
king were stirring up,4,1
in the of the place,5,1
pleased not,2,1
major captures two hundred british,5,1
with the thing,3,2
waters which was,3,1
ye receive,2,1
draw for the number of,5,1
after the name of,4,2
some wounded,2,1
opened his mouth,3,4
was glad,2,1
valiant porter,2,1
rear with one of the,5,1
trial,1,1
it hath expired upon the,5,1
of defeated in upper,4,1
on the fourteenth day of,5,1
were able to defend,4,1
have hemmed you,3,1
came from the round,4,1
the ram,2,1
the hands of the servants,5,2
the dust of,3,1
for the men who,4,1
he not move on,4,1
was known throughout the,4,1
men and the women of,5,1
the river about an,4,2
tribe,1,1
came he to the water,5,1
success of their deeds they,5,1
had come thither in multitudes,5,1
this place he sent forth,5,1
slumbered in,2,1
their swords and,3,2
shall thy name,3,1
went into the vessels was,5,1
aloud for peace,3,1
he had landed his men,5,1
solomon in the plenitude,4,1
began to prepare their,4,1
now hull was a,4,1
the christian era that he,5,1
hermes,1,2
forest a band of the,5,1
encompass,1,1
certain captain whose name,4,1
profit thereby and it,4,1
to pass about this time,5,1
shall open,2,1
the place lest,3,2
a truth that their fleet,5,1
captain of the dominica,4,1
committed all this horrid slaughter,5,1
league with the provinces of,5,1
them to yield up the,5,1
eight thousand furlongs,3,1
of maryland that they might,5,1
that lawrence was slain they,5,1
of the were dyed with,5,1
the same month in which,5,2
man who hath watered well,5,1
and wool and leonard,4,1
major with,2,1
deceived for there,3,1
the red,2,6
ships of britain and,4,1
the host of britain fled,5,1
of columbia was sorely,4,1
cunning ye yankees take the,5,1
its noises ceased,3,1
stopped the,2,1
well they knew,3,1
will be as sheep,4,1
showers,1,1
a certain valiant,3,1
tents in the,3,1
the heights of,3,3
was atkinson to wilkinson with,5,1
commanded by a chief captain,5,2
mode of,2,1
be not disheartened,3,1
and the steady roar,4,1
before him like,3,1
jamaica that the,3,1
the banners of alexander came,5,1
their hands and their feet,5,1
whereof was decatur and,4,1
were pleased with the,4,2
other side of the river,5,2
columbia destroying their provisions which,5,1
pelican was somewhat stronger,4,1
of two tribes,3,1
place and fled,3,1
samuel the men,3,1
and appointed a captain to,5,1
heights and went more than,5,1
month of the same,4,7
a thousand men oh,4,1
to surrender the,3,1
captain was taken and,4,1
not many neither was it,5,1
receive the enemies of the,5,1
the year when,3,1
the commander suffered,3,1
the united states with fire,5,1
of their slain behind,4,1
he was an hireling,4,1
for such a thing,4,1
campbell and,2,1
remained from the slaughter,4,1
of the royal navy of,5,1
place and returned to,4,1
navy on,2,1
king to help,3,1
and their blessings,3,1
maine in the,3,1
a time one man,4,1
navy of,2,6
of britain forty that,4,1
behold the captain of,4,1
had been a,3,3
their voices and,3,1
of war became,3,1
narcissus albeit she,3,1
is written their swords may,5,1
nigh the yankee thinking,4,1
vouchsafe its,2,1
of britain heard,3,5
the dominions of the king,5,1
euphrates its waters,3,1
is a time to weep,5,1
a thousand men of,4,2
the tree of good and,5,1
chosen band who came,4,1
hidden by the moans,4,1
flee to,2,1
king had approached the,4,1
flee from the,3,1
their sick and wounded,4,1
barbarians and accordingly,3,1
nation in the name,4,1
time saying,2,1
william was made known,4,1
them for about,3,2
day were five,3,1
not but compelled them to,5,1
banners of alexander,3,1
through the deep wilderness,4,1
more than two thousand,4,1
they chose and to trade,5,1
they wrought,2,1
valiant deeds of jacob and,5,1
done to both,3,1
whereof was jones,3,1
was somewhat after,3,1
seven hundred,2,7
captain of the ships,4,2
house in the,3,1
among the strong,3,1
therefore if ye,3,1
of the sun and the,5,1
the cypress swamp being,4,1
to the land which,4,1
but at first the refused,5,1
boy who,2,1
his men for,3,1
they kept him,3,1
thereof towards the peaceable,4,1
utter their thunders and,4,1
strong hold and drove,4,1
not rather with our might,5,1
it was here the,4,1
ships some of which,4,1
of decatur should not,4,1
them and prepared to meet,5,1
and they sat,3,2
and they saw,3,1
battle the whole army shouted,5,1
therefore i command,3,1
poisoned waters,2,1
when they,2,21
port of algiers the,4,1
receive my hand,3,1
put his fleet in battle,5,1
wasp captured another ship of,5,1
overcome even then shall not,5,1
fourteen years have brought with,5,1
fled to,2,1
the wild roe nevertheless the,5,1
ruin and a,3,1
a preacher of the,4,1
him already have,3,1
columbia he bowed,3,1
against them that are able,5,1
taken dreadful aim,3,1
two of the small vessels,5,1
unto the place where,4,1
they burnt the houses,4,1
men of britain came,4,2
neither shall,2,4
overshadowed by the means,4,1
shed the blood,3,1
in token of applause,4,1
spirit of,2,7
a place called on the,5,1
manifold evils which these,4,1
numbers were more,3,1
moved fast upon the,4,1
against the enemies of columbia,5,1
had made a convention at,5,1
shall not suffer,3,1
triumph to the land,4,1
of violated,2,1
learn with astonishment how,4,1
to go before him was,5,1
imagination them all she,4,1
of the young,3,1
their army were captured,4,1
we the independent,3,1
that had been,3,5
laden with rich merchandize and,5,1
of the wise men,4,4
that they might the king,5,1
